"Hashtags","Posts","Search Volume (Average)","Search Volume (Jun 2022)","Search Volume (Jul 2022)","Search Volume (Aug 2022)","Search Volume (Sep 2022)","Search Volume (Oct 2022)","Search Volume (Nov 2022)","Search Volume (Dec 2022)","Search Volume (Jan 2023)","Search Volume (Feb 2023)","Search Volume (Mar 2023)","Search Volume (Apr 2023)","Search Volume (May 2023)","Trend","Average CPC (USD)","Competition"
"#language","4544161","15500","19000","15500","12700","12700","12700","19000","12700","15500","12700","12700","12700","15500","-18","0.48","3"
"#englishlanguage","2206243","5600","5600","4600","5600","5600","4600","5600","5600","6900","5600","5600","5600","6900","23","0.69","13"
"#languagelearning","1803152","620","620","1100","620","500","500","410","620","620","620","620","500","620","0","2.02","26"
"#languages","1623567","15500","19000","15500","12700","12700","12700","19000","12700","15500","12700","12700","12700","15500","-18","0.48","3"
"#signlanguage","684801","3700","3700","2100","2100","4600","4600","3700","3700","5600","5600","4600","3700","4600","24","7.49","0"
"#bodylanguage","655972","2400","2100","1700","2400","3100","3100","2400","2400","3700","2400","2100","2100","2400","14","0.04","1"
"#lovelanguage","595097","5600","5600","4600","5600","4600","5600","6900","5600","6900","6900","5600","5600","6900","23","0.07","6"
"#languageschool","507868","410","220","330","330","330","920","500","330","500","330","500","330","410","86","0.61","11"
"#koreanlanguage","431447","2100","1700","1700","1700","2100","1700","2100","2100","2400","3100","2400","2100","3100","82","0.27","4"
"#japaneselanguage","382253","1700","1700","1700","1700","1700","2100","2100","1700","2100","1700","1700","1700","2400","41","0.95","5"
"#languagestudy","355073","40","40","40","40","50","40","50","30","60","30","40","30","40","0","1.29","20"
"#chineselanguage","330362","1700","1700","1300","1700","1700","1700","1700","1300","1700","1700","2100","1700","2100","24","1.42","5"
"#spanishlanguage","324567","1300","1300","1100","1300","1300","1300","1700","2400","1700","1300","1300","1100","1300","0","1.15","7"
"#learnlanguages","321571","10","10","10","10","10","10","10","10","10","10","10","10","10","0","1.28","31"
"#germanlanguage","316217","3100","2400","2400","3100","3100","3100","3100","3100","3700","3100","3100","3100","3100","29","1.14","17"
"#frenchlanguage","308516","1700","1700","1300","1700","2100","2100","2100","2100","2100","1700","2100","1700","2100","24","0.63","5"
"#languagelover","282214","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#learninglanguages","280237","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#languageexchange","201067","120","90","120","120","120","120","120","140","180","120","120","140","120","33","1.42","25"
"#lovelanguages","186136","5600","5600","4600","5600","4600","5600","6900","5600","6900","6900","5600","5600","6900","23","0.07","6"
"#foreignlanguages","181470","220","180","120","140","220","220","220","180","220","270","220","180","180","0","0.32","2"
"#languagedevelopment","163625","120","140","90","60","180","220","180","120","120","120","120","120","90","-36","0","1"
"#languagelearner","112890","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#languagecourse","106742","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.03","29"
"#languagearts","93254","90","90","40","120","180","140","120","40","90","120","90","60","120","33","0","0"
"#languagestudent","79905","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languageofflowers","78438","270","180","270","140","220","220","500","220","270","270","270","180","220","22","0.49","45"
"#languageskills","77544","180","180","180","140","220","180","220","140","180","180","220","180","220","22","1.02","4"
"#languagelovers","76680","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#programminglanguages","73515","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languageteacher","67088","40","40","30","30","50","30","40","40","40","60","30","50","50","25","0","14"
"#studylanguages","63777","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#languagecenter","55916","90","60","60","50","140","140","90","120","120","50","90","50","180","200","0.72","13"
"#clanguage","55391","500","410","410","500","620","500","620","410","620","500","410","330","410","0","0","1"
"#5lovelanguages","53314","3100","2400","2400","6900","3100","2400","3100","3100","3100","3100","3700","3100","3100","29","0.26","12"
"#indigenouslanguages","46596","30","10","10","10","10","10","10","10","30","30","10","180","30","200","0","0"
"#languageoflove","44357","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#languagematters","43880","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#languagebarrier","40425","220","220","220","140","270","330","270","220","220","270","220","220","270","23","0","0"
"#languagecourses","40337","120","120","90","120","90","120","120","90","180","90","140","220","140","17","1.99","30"
"#languagetherapy","38897","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languagenerd","37205","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languagememes","34875","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languageteaching","31555","40","40","30","30","50","30","40","40","40","60","30","50","50","25","0","14"
"#worldlanguages","31532","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#languagetips","30152","30","10","10","10","30","40","30","10","30","10","30","10","10","0","0","0"
"#languagecoach","30007","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","9"
"#languageclass","28779","90","120","90","90","90","120","90","60","90","40","60","60","90","-25","1.84","23"
"#languageservices","27622","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","6"
"#learnlanguagesonline","27307","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#languagelearners","25462","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#fivelovelanguages","23515","620","620","620","760","620","620","760","620","620","620","760","620","620","0","0.27","41"
"#languagedelay","23398","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languagecommunity","23306","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#africanlanguages","22960","500","500","410","500","410","500","410","500","410","500","410","410","500","0","0.03","0"
"#languagechallenge","22799","40","40","50","40","40","50","30","40","60","40","50","50","50","25","0","0"
"#languageimmersion","22524","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languagecoaching","21023","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languagelearningtips","19950","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languagediarychallenge","19698","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languageacquisition","19525","10","10","10","10","30","10","10","10","10","10","10","10","10","0","0","1"
"#languagememe","19355","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languagegram","18327","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languageschools","18146","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languagetraining","17336","30","30","30","10","40","30","40","30","30","10","10","10","10","-67","0","30"
"#languageacademy","17310","1700","1100","920","1300","1300","1700","1700","1300","2100","1700","2100","2100","2100","91","0.52","1"
"#instalanguages","17301","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languageapp","17279","120","90","90","90","120","120","120","120","140","120","140","90","120","33","1.35","16"
"#languageclasses","16935","90","120","90","90","90","120","90","60","90","40","60","60","90","-25","1.84","23"
"#languagelink","16794","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#languagecentre","15612","90","60","60","50","140","140","90","120","120","50","90","50","180","200","0.72","13"
"#languagelessons","14982","50","50","50","30","30","60","50","120","120","60","40","40","40","-20","1.91","21"
"#achievelanguages","14651","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#clanguageprogramming","13964","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languagetravel","13816","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","7"
"#100languages","13292","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#languagestudies","13154","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languagelearningisfun","13135","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languageenthusiast","13110","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languagegoals","13060","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#languageinstitute","13057","140","90","120","330","120","120","90","60","180","120","140","90","180","100","1.7","20"
"#languagestudygram","12748","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languageeducation","11762","10","10","10","10","30","10","10","10","10","10","30","30","10","0","0","14"
"#romancelanguages","11750","330","330","270","220","330","410","330","410","410","410","410","410","410","24","0","0"
"#newlanguages","11170","30","30","30","10","30","30","30","30","40","30","40","40","40","33","0","0"
"#languagecamp","11027","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#differentlanguages","10924","180","140","140","140","180","180","180","140","180","180","180","140","180","29","0.73","1"
"#slaviclanguages","10606","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#indianlanguages","10505","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#languagepractice","10419","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languagesforkids","10169","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languagetutor","10026","40","30","30","30","40","10","30","50","50","40","50","40","60","100","1.99","51"
"#languageoflight","9870","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languagerevitalization","9635","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languageteachers","9563","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#europeanlanguages","9351","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#endangeredlanguages","9057","40","40","30","30","40","40","30","30","50","90","30","30","90","125","0","0"
"#languagefun","8833","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#languagesarefun","8740","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languagefacts","8680","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#modernlanguages","8596","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#languagecert","8545","90","90","120","50","90","90","90","90","90","90","60","60","90","0","0.34","25"
"#languagebarriers","8379","220","220","220","140","270","330","270","220","220","270","220","220","270","23","0","0"
"#languageaccess","8137","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languageartsteacher","8058","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languagedisorders","8023","50","50","40","30","40","60","50","30","50","50","30","50","60","20","0","1"
"#signlanguages","8009","30","40","30","10","30","10","30","30","40","50","30","30","50","25","0","0"
"#studyinglanguages","7958","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languageofthesoul","7850","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languagemotivation","7510","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#slanguage","7450","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#languagelove","7346","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languagecafe","7314","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#languageday","7259","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languagejourney","6862","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languagetime","6623","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languageandliteracy","6438","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languageofthorns","6430","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languageandculture","6362","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languagetranslation","6186","19000","15500","15500","19000","19000","19000","15500","15500","19000","19000","19000","19000","19000","23","0.62","5"
"#languageassistant","6150","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#languageslover","6045","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languagequotes","5961","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languageart","5933","90","90","40","120","180","140","120","40","90","120","90","60","120","33","0","0"
"#languagetest","5917","50","50","40","90","60","50","50","40","90","40","40","40","60","20","0.58","7"
"#languageclub","5905","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#languagesoflearning","5823","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languagelesson","5686","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languageproficiency","5650","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languagenerds","5547","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#languagebooks","5456","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#languagenotes","5415","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languagegames","5393","50","50","30","40","40","90","40","30","120","60","40","40","50","0","0.33","7"
"#languageispower","5308","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languageblog","5266","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#rlanguage","5053","270","220","220","270","330","330","270","270","330","330","270","270","270","23","0.81","2"
"#languagelab","4915","30","10","10","10","30","10","10","40","30","10","30","10","30","200","0","21"
"#languagejournal","4726","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languagesonline","4696","60","60","10","10","60","90","120","10","120","60","40","40","90","50","0","0"
"#languagejokes","4524","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languagelearningjourney","4439","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languageslearning","4398","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languageofflower","4296","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languageaddict","4293","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languagemodel","4243","120","30","10","40","40","40","30","50","120","140","270","270","270","800","0","1"
"#languagegeek","4178","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#5languagesoflove","4124","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#languageisfun","4104","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languagesschool","4074","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languagedisorder","4066","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languagetrip","3913","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#languageblogger","3897","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languageofobjects","3766","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languagesoftheworld","3614","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languageinmotion","3517","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#languagepartner","3409","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.48","9"
