"Hashtags","Posts","Search Volume (Average)","Search Volume (Jun 2022)","Search Volume (Jul 2022)","Search Volume (Aug 2022)","Search Volume (Sep 2022)","Search Volume (Oct 2022)","Search Volume (Nov 2022)","Search Volume (Dec 2022)","Search Volume (Jan 2023)","Search Volume (Feb 2023)","Search Volume (Mar 2023)","Search Volume (Apr 2023)","Search Volume (May 2023)","Trend","Average CPC (USD)","Competition"
"#learn","14905347","12700","10400","8500","10400","12700","12700","15500","15500","15500","15500","15500","12700","19000","83","0.93","3"
"#learning","23907421","12700","10400","8500","10400","12700","12700","15500","15500","15500","15500","15500","12700","19000","83","0.93","3"
"#learnenglish","5307181","19000","15500","15500","19000","15500","19000","15500","19000","23200","19000","19000","19000","23200","50","1.58","26"
"#learningthroughplay","3633652","10","10","10","10","10","10","10","10","10","10","10","10","60","500","0","0"
"#earlylearning","2172962","220","220","140","140","270","220","270","270","220","180","270","270","330","50","1.47","26"
"#elearning","2020185","4600","3700","3100","3700","5600","4600","4600","3700","5600","4600","4600","3700","3700","0","3.72","9"
"#learningenglish","2000203","19000","15500","15500","19000","15500","19000","15500","19000","23200","19000","19000","19000","23200","50","1.58","26"
"#learningisfun","1694644","10","10","10","10","10","10","10","10","10","10","30","10","10","0","0","0"
"#learningathome","1210094","40","60","30","30","50","40","30","30","50","40","40","50","60","0","0","7"
"#lessonlearned","1066029","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#learnthroughplay","940961","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#learnsomethingnew","851354","90","90","120","90","90","120","90","90","140","60","90","90","90","0","0","6"
"#learnspanish","755411","2100","2400","2100","2100","2100","2100","2100","3100","2400","2100","2400","2100","2400","0","2.12","38"
"#learnenglishonline","740491","500","410","620","500","500","410","410","410","500","500","500","500","760","85","3.11","60"
"#learningeveryday","721715","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#learnminimalism","707357","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#learningbydoing","665060","90","90","40","60","90","120","90","90","120","90","120","60","90","0","0","0"
"#learnfrench","625882","2400","2400","2400","2100","2400","2400","2100","2400","3100","2400","2400","2100","2400","0","2.26","35"
"#lessonslearned","587310","760","760","620","620","760","920","1100","620","920","760","920","760","920","21","0","0"
"#learngerman","480753","1300","1300","1700","1700","1300","1300","1300","1300","1700","1300","1300","1300","1700","31","1.79","45"
"#learner","461643","12700","10400","8500","10400","12700","12700","15500","15500","15500","15500","15500","12700","19000","83","0.93","3"
"#learnchinese","459028","760","760","620","760","620","760","620","620","620","620","920","920","920","21","1.57","33"
"#learntocode","454825","1700","1300","1700","1700","1700","1300","2100","1700","2100","1700","1300","1300","1700","31","1.86","40"
"#learnmore","432176","50","40","30","30","40","50","50","60","60","40","40","50","40","0","0","0"
"#learnkorean","421567","1300","1700","1700","1700","1100","1100","1100","1300","1300","1100","1300","1100","1300","-24","0.85","18"
"#learnjapanese","389023","920","920","920","920","920","760","920","920","920","760","920","760","1100","20","1.14","35"
"#learnfromthebest","386998","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#clearnails","379828","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#learnislam","364358","10","10","10","10","10","10","10","10","10","10","10","10","40","300","0","0"
"#learntotrade","352929","760","620","620","920","760","760","760","1100","920","760","760","760","920","48","14.41","57"
"#learnfromhome","332088","120","120","60","90","220","140","120","90","140","90","60","90","140","17","3.79","18"
"#learnathome","329089","40","60","30","30","50","40","30","30","50","40","40","50","60","0","0","7"
"#learnandgrow","321820","40","30","40","40","50","40","40","40","40","40","60","60","50","67","0.4","2"
"#learnlanguages","321571","10","10","10","10","10","10","10","10","10","10","10","10","10","0","1.28","31"
"#learntoswim","317255","760","1100","1100","1100","760","760","500","500","620","410","620","760","1100","0","0.9","22"
"#learnandplay","316478","60","60","30","60","220","120","40","40","60","60","60","40","50","-17","0","2"
"#learningnewthings","315985","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishlearners","295772","19000","15500","15500","19000","15500","19000","15500","19000","23200","19000","19000","19000","23200","50","1.58","26"
"#learntofly","291213","330","330","270","270","330","330","270","270","270","410","330","270","500","52","0.16","3"
"#lessonslearnedinlife","289510","90","90","90","90","120","120","90","120","90","60","60","60","120","33","0","1"
"#learnlife","287235","10","10","10","10","10","10","10","10","10","10","10","40","40","300","0","0"
"#learnphotography","285369","500","410","500","500","620","410","410","500","500","500","500","410","500","22","1.18","43"
"#learntodraw","284724","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#learninglanguages","280237","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#learnonline","279392","23200","8500","760","3700","42400","34700","34700","6900","28400","23200","23200","15500","23200","173","4.68","2"
"#learningspanish","279007","2100","2400","2100","2100","2100","2100","2100","3100","2400","2100","2400","2100","2400","0","2.12","38"
"#learnitalian","277854","500","500","620","410","500","410","500","500","500","500","620","620","620","24","4.07","41"
"#learnsomethingneweveryday","269455","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#learninganddevelopment","267388","410","410","330","410","410","330","410","330","410","330","410","270","410","0","1.04","16"
"#learningtolovemyself","242378","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#learntocook","237801","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#learnmandarin","236852","140","120","120","180","120","120","120","140","140","120","220","220","180","50","1.31","38"
"#learnmakeup","228602","50","60","50","60","50","50","50","50","90","30","30","40","50","-17","1.28","66"
"#learningphotography","228288","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#learntosew","228091","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#learnings","224239","270","220","180","220","330","270","330","220","330","270","220","180","270","23","0.41","2"
"#learnlogodesign","224122","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#learned","222304","12700","10400","8500","10400","12700","12700","15500","15500","15500","15500","15500","12700","19000","83","0.93","3"
"#learningtodraw","218064","920","1100","1100","760","760","920","1100","920","1100","920","920","920","760","-31","0.61","11"
"#learntoloveyourself","210848","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#learntopaint","209516","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#learningkorean","204699","1300","1700","1700","1700","1100","1100","1100","1300","1300","1100","1300","1100","1300","-24","0.85","18"
"#learning_english","201086","19000","15500","15500","19000","15500","19000","15500","19000","23200","19000","19000","19000","23200","50","1.58","26"
"#learners","197703","12700","10400","8500","10400","12700","12700","15500","15500","15500","15500","15500","12700","19000","83","0.93","3"
"#learneveryday","197416","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#learnandearn","196097","270","330","330","410","330","270","330","270","220","270","270","180","180","-45","0.2","26"
"#learntodrive","195640","410","330","330","410","330","330","270","330","410","410","410","330","410","24","0.29","10"
"#learnnewthings","192865","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#learnfromyourmistakes","192057","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#learningtogether","189872","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#learningfrench","189167","2400","2400","2400","2100","2400","2400","2100","2400","3100","2400","2400","2100","2400","0","2.26","35"
"#learnsomething","187308","30","60","40","10","30","40","10","10","30","10","30","30","30","-50","0","0"
"#learntosurf","186744","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#littlelearners","185750","180","180","120","120","180","180","220","140","270","220","140","140","220","22","0.43","67"
"#learningdisabilities","184851","620","500","330","620","760","760","620","500","620","500","620","410","620","24","1.1","4"
"#learnbydoing","179613","90","90","40","60","90","120","90","90","120","90","120","60","90","0","0","0"
"#learnarabic","179314","8500","8500","6900","8500","8500","10400","12700","10400","10400","8500","10400","8500","10400","22","1.58","37"
"#learningjapanese","176696","410","500","410","410","330","330","330","410","500","330","410","410","330","-34","0.43","25"
"#learningresources","171131","270","270","180","330","330","270","330","220","270","270","220","180","330","22","0.63","100"
"#learningneverstops","169368","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#learncalligraphy","166568","140","140","140","140","180","140","140","140","180","140","180","140","180","29","0.44","14"
"#learnforex","164582","180","140","140","270","220","220","140","180","180","140","180","140","220","57","17.67","44"
"#learnrussian","163357","920","760","760","760","760","760","920","920","920","920","920","920","920","21","3.11","43"
"#learningcenter","162904","330","220","180","270","330","330","330","270","330","410","270","410","410","86","1.76","8"
"#learntodance","162139","620","620","620","620","620","500","620","620","620","500","500","500","620","0","0.96","18"
"#learninggerman","160080","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
