"Hashtags","Posts","Search Volume (Average)","Search Volume (Jun 2022)","Search Volume (Jul 2022)","Search Volume (Aug 2022)","Search Volume (Sep 2022)","Search Volume (Oct 2022)","Search Volume (Nov 2022)","Search Volume (Dec 2022)","Search Volume (Jan 2023)","Search Volume (Feb 2023)","Search Volume (Mar 2023)","Search Volume (Apr 2023)","Search Volume (May 2023)","Trend","Average CPC (USD)","Competition"
"#speaking","1406006","3700","2400","2400","2400","3700","3100","5600","3700","4600","3700","3700","3100","4600","92","0.63","1"
"#publicspeaking","1860896","1300","1300","920","1100","1700","1700","1700","1100","1700","1700","1700","1300","1700","31","1.27","17"
"#englishspeaking","866457","8500","8500","8500","8500","8500","8500","8500","8500","10400","10400","10400","10400","10400","22","0.94","27"
"#ieltsspeaking","667982","12700","10400","12700","12700","10400","10400","12700","12700","12700","12700","12700","10400","12700","22","1.05","21"
"#motivationalspeaking","591869","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#speakingenglish","373443","8500","8500","8500","8500","8500","8500","8500","8500","10400","10400","10400","10400","10400","22","0.94","27"
"#publicspeakingclass","148459","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingclub","121488","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","14"
"#englishspeakingcourse","102012","10","10","10","40","10","10","10","10","10","10","10","10","10","0","0","0"
"#speakingskills","75825","180","180","120","120","220","220","180","120","270","180","180","180","180","0","0.92","15"
"#speakingfortheoneswhocant","57978","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingfromtheheartbfletcher","39763","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#speakingclass","35536","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingtruth","34574","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingfromtheheart","34521","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#speakingtips","31402","40","10","30","40","50","50","30","40","60","50","30","50","60","500","0","4"
"#speakingfreedomlife","30960","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingthetruth","30718","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingintongues","27665","500","410","500","410","410","500","500","410","500","500","620","500","500","22","1.65","1"
"#speakingout","26062","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#speakingengagement","25778","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingitintoexistence","24606","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#frenchspeaking","24511","120","90","90","60","60","140","180","90","140","120","90","60","140","56","1.6","10"
"#speakinglife","23525","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingup","23151","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#speakingfreedompsych","22266","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingcoach","21656","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingfacts","21157","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingmymind","21063","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingfrench","20595","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#speakingmytruth","20423","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingpractice","19801","140","120","140","120","180","180","140","120","180","140","180","140","120","0","2.65","21"
"#speakingfreedom","19719","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingfromexperience","14865","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingfreedompublishing17","14768","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingspanish","14725","180","180","120","180","140","140","140","180","180","140","180","140","180","0","0.99","14"
"#speakingengagements","14187","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakinglovegangfreedom","12693","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#publikspeaking","11208","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#speakingsnap","11064","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingenglishisfun","10585","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingsnapshot","10554","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingintoexistence","8778","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingtest","8228","270","270","220","220","220","270","330","220","220","270","220","270","270","0","0.62","11"
"#speakingindance","8219","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#speakingtree","8195","60","90","60","60","60","90","60","50","120","60","90","90","60","-33","0","0"
"#speakingdog","7459","60","90","120","60","60","50","60","50","50","50","50","60","50","-44","0","3"
"#speakingroses","7240","10","10","10","10","10","10","10","10","10","40","10","10","30","200","0","83"
"#speakingfreedompublishing","6841","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speaking_english","6572","8500","8500","8500","8500","8500","8500","8500","8500","10400","10400","10400","10400","10400","22","0.94","27"
"#speakingsoulbysanket","6218","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingevent","6215","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingpartner","6185","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#speakinggerman","6146","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#speakingitalian","5975","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","100"
"#speakingingeneral🦆","5791","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingcourse","5337","60","60","50","60","60","50","40","50","40","60","50","90","50","-17","3.04","58"
"#speakingskill","5146","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#speakingyourtruth","5069","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingeyes","5057","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingkorean","4932","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#speakingmylanguage","4757","10","10","10","10","10","10","30","10","10","10","10","10","10","0","0","0"
"#speakinggigs","4719","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingtomyself","4606","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingof","4368","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#speakingforthosewhocant","4261","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingrock","4159","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#speakingchinese","4045","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#speakingupismanningup","4015","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingtruthtopower","3955","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingenglishclass","3851","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingoutloud","3677","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingwordsofwisdom","3677","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingenglishwithconfidence","3676","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingevents","3665","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakinginpublic","3561","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingwithspirit","3537","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingbusiness","3521","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingtour","3506","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakinginenglish","3457","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#speakingjapanese","3295","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingielts","3285","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#speakinggrief","3267","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#speakingandlistening","3216","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingit","3159","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingactivity","3002","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingtome","2941","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakinggig","2911","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingreindeer","2883","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingcolors","2818","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingclasses","2794","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingclubonline","2744","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","14"
"#speakingmymind2018","2699","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingvolumes","2693","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingcat","2599","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#speakingchallenge","2594","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingmoistly","2587","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingsouls","2564","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingwalls","2543","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingtime","2507","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingclubs","2495","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","14"
"#speakingwithconfidence","2484","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingexam","2482","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakinggreencommunications","2464","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingtomysoul","2464","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingportuguese","2433","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingmandarin","2270","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingthingsintoexistence","2250","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingminds","2222","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#speakingrosesleb","2202","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingingeneral🐺🦆","2195","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingarabic","2187","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#speakingenglishfluently","2183","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingmylovelanguage","2086","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingvoice","1978","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingk9","1966","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingrole","1948","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingfluently","1829","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#speakingofbooks","1829","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingfreedomholdingco4ever","1828","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingparrot","1828","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#speakingmodule","1817","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingrussian","1817","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakinghopetotheworld","1816","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingtruths","1803","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingcompetition","1791","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingheart","1707","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakinglesson","1655","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingclubastana","1651","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingofnails","1645","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakings","1631","10","30","10","10","30","30","30","10","10","10","30","10","10","-67","0","0"
"#speakingformyself","1592","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingingeneral","1584","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingtiger","1578","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#speakingopportunities","1523","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingclubenglish","1518","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingpiecesboutique","1493","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingservices","1478","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakinglessons","1456","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingbird","1442","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakinglanguages","1409","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0"
"#speakingopportunity","1398","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingthroughart","1336","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingactivities","1335","140","50","90","180","180","140","180","180","220","120","140","180","270","440","0.42","2"
"#speakingstyles","1300","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingourtruth","1287","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingparrots","1284","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingherintoexistence","1257","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakinghope","1246","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingplanetsmr","1241","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingrosesjordan","1198","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingworkshop","1192","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingart","1191","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingbrazilian","1184","40","30","40","50","40","40","50","30","30","30","10","50","30","0","0","0"
"#speakingofdogsrescue","1184","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingschool","1181","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","29"
"#speakingitintoexistance","1180","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingcluburalsk","1173","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingacademy","1172","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingtip","1166","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakinglab","1165","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingclubbursa","1162","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingplanetsamara","1150","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingmirror","1140","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingtotheether","1129","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingpositivity","1122","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingarchaeologically","1119","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingconfidence","1115","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingplanet","1098","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingrockentertainmentcenter","1096","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingcomics","1095","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingclubkiev","1087","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingoftravel","1070","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingvalve","1061","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingwords","1060","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingfromtheheart❤️","1049","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakinganamika","1047","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingmyheartout","1047","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingsoul","1046","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#speakingtongues","1046","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
