"Hashtags","Posts","Search Volume (Average)","Search Volume (Jun 2022)","Search Volume (Jul 2022)","Search Volume (Aug 2022)","Search Volume (Sep 2022)","Search Volume (Oct 2022)","Search Volume (Nov 2022)","Search Volume (Dec 2022)","Search Volume (Jan 2023)","Search Volume (Feb 2023)","Search Volume (Mar 2023)","Search Volume (Apr 2023)","Search Volume (May 2023)","Trend","Average CPC (USD)","Competition"
"#englishcourse","1319930","3100","1700","1700","2100","2100","15500","2100","2100","2400","1700","2100","2100","2400","41","2.95","45"
"#englishcourses","199426","10","10","10","10","10","10","10","10","10","10","10","10","10","0","4.99","60"
"#englishcoursesurabaya","87801","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcourseinsurabaya","30440","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursejakarta","15009","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcourseonline","9559","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursemedan","7688","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursejogja","7654","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcourseforkids","6224","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcourseforchildren","4299","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursebandung","3565","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursebalikpapan","3283","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursebagus","3275","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursebatam","2805","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursebekasi","2794","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursebanjarmasin","2688","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursebali","2593","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursedepok","2311","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursepadang","2277","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcourseskazan","2161","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursesemarang","2078","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursesonline","1987","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursemakassar","1846","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursejabodetabek","1805","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursesingaraja","1575","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursesolo","1511","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursemalang","1487","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursesalmaty","1416","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursepare","1318","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursetangerang","1232","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcourseindonesia","1172","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursepekanbaru","1149","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursemagelang","1130","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcourseforteens","1074","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcourseklaten","1060","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursebogor","1053","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursealmaty","953","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursepku","935","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcourseaustralia","914","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcourseyogyakarta","909","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcourseinmalang","885","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursejambi","688","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursedenpasar","678","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcourseforspanishspeaker","656","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcourseforfrenchspeaker","656","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursepalembang","655","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursesbishkek","637","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursetabanan","630","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcourseinmedan","622","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcourseforadults","593","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursesidoarjo","570","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcourseduri","523","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcourseinbogor","496","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursetasik","487","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursebishkek","473","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursemadiun","465","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcourselampung","457","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursecikarang","455","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcourselombok","451","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursesinalmaty","446","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursebook","437","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursedolopomadiunponorogo","436","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursejakartabarat","409","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursealamsutera","402","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursepontianak","402","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursebaturiti","399","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcourseuk","397","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcourseteacher","396","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursebsd","389","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursesby","380","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursesastana","358","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
"#englishcoursesforkids","354","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0.01","0"
